01000291;60.00;PALLETS MAD. PINO  1.00 X 1.00 CERTIFICADO IMERYS                              ;10714.01;642840.31;1412251;60.00
01000114;15.00;BASTIDOR PINO 1 X 2 DE 1.00 X 2.00 MTS                                                        ;6000.00;90000.00;167788;\N
01000113;30.00;BASTIDOR PINO 1 X 2  DE 1.00 X 1.70 MTS.                                                      ;6000.00;180000.00;167788;\N
02002097;1.00;MELAMINA VESTO BLANCA 183 X 250 X 15 MM.CORTADA                                ;32731.09;32731.09;1412252;\N
02000521;4.00;ECOPLAC MDP 152 X 242 X 8 MM.                                                                 ;14250.00;57000.00;167789;2.00
02002097;2.00;MELAMINA VESTO BLANCA 183 X 250 X 15 MM.CORTADAS                               ;32731.09;65462.18;1412261;1.00
02001532;2.00;DUROLAC COIGUE 152 X 244 X 3,2 MM.                                                            ;11250.00;22500.00;167796;2.00
02002097;1.00;MELAMINA VESTO BLANCA 183 X 250 X 15 MM.                                                      ;38950.00;38950.00;167796;1.00
02000032;3.00;DUROLAC BLANCO 152 X 244 X 3 MM.CORTADOS                                       ;8361.33;25084.00;1412272;3.00
02002097;10.00;MELAMINA VESTO BLANCA 183 X 250 X 15 MM.CORTADAS                               ;32352.90;323529.00;1412272;10.00
021064110;1.00;MELAMINA VESTO ROBLE RUSTICO 183 X 250 X 15 MM.CORTADA                         ;49370.19;49370.19;1412272;1.00
02002097;2.00;MELAMINA VESTO BLANCA 183 X 250 X 15 MM.CORTADA                                               ;38950.00;77900.00;167903;1.00
02001406;1.00;TAPA MELAMINA BLANCA 183 X 250 X 15MM  CORTADA                                                ;12000.00;12000.00;167903;0.00
02002065;1.00;TRUPAN 500 152 X 244 X 15 MM.                                                  ;20975.00;20975.00;1412273;0.00
02002066;1.00;TRUPAN 500 152 X 244 X 12MM.                                                   ;18277.00;18277.00;1412273;0.00
02002097;3.00;MELAMINA VESTO BLANCA 183 X 250 X 15 MM.                                       ;32731.13;98193.38;1412273;1.00
02002097;1.00;MELAMINA VESTO BLANCA 183 X 250 X 15 MM.CORTADA                                               ;38950.00;38950.00;167904;1.00
02000032;1.00;DUROLAC BLANCO 152 X 244 X 3 MM.CORTADA                                        ;8782.00;8782.00;1412274;0.00
02002097;10.00;MELAMINA VESTO BLANCA 183 X 250 X 15 MM.CORTADA                                ;32731.00;327310.00;1412274;6.00
021064110;1.00;MELAMINA VESTO ROBLE RUSTICO 183 X 250 X 15 MM.CORTADA                         ;50210.52;50210.52;1412274;0.00
02002097;4.00;MELAMINA VESTO BLANCA 183 X 250 X 15 MM.CORTADA                                               ;38950.00;155800.00;167905;0.00
02000032;1.00;DUROLAC BLANCO 152 X 244 X 3 MM. CORTADO                                                      ;10450.00;10450.00;167905;1.00
